InspectionUID,FacilityHashID,InspectionDate,InpsectionHashID,FacilityName,FacilityFullStreetAddress,FacilityZip,EstablishmentType,Cuisine,FacilityRiskScore,FacilityRiskProfile
5751001,1DB22616-915B-8C95-5EB6688C02258BEF,2/24/19 0:00,32FB1515-5056-A20B-FAC9E32035EE500D,SPARKLE HAMBURGER SPOT,1515 DOWLING,77003,"Mobile - Conventional, Unrestricted , Non-motorized",,6,HIGH
5751521,05548059-D18B-C344-55536E61C4A6F652,2/26/19 0:00,9D6148B7-5056-A20B-FA5D3A3FC7B8EEB5,BERRI SWIRL,18351 TOMBALL PKWY STE G,77070,Restaurant - Single Service,DESSERTS,2,LOW
5751592,0726979B-A762-EE3E-D9FBAE0BA8C24386,2/27/19 0:00,C3F6040B-5056-A20B-FACE8377F1842539,THE VILLAGE ON AUGUSTA,1600 AUGUSTA DR,77057,Restaurant - Full Service,LOCAL / CONTINENTAL,9,HIGH
5751593,1FE5C2F4-3048-98E1-5C91D6840BFBD433,2/27/19 0:00,C41F8BFF-5056-A20B-FA24F747779630B4,POBLANO'S  MEXICAN  GRILL #2,1000 MAIN ST STE T-33,77002,Restaurant - Full Service,MEXICAN / HISPANIC,8,HIGH
5755547,2223DB1B-B907-C51B-083F9B5A21EF66E4,3/17/19 0:00,6613D892-5056-A20B-FA13C18A3400DDE6,WHAT'S BREWING LUBY'S ETC,1301 FANNIN STE L100,77002,Restaurant - Single Service,"BEVERAGES, ETC.",2,MEDIUM
5755629,53DC8017-C957-AE80-081794BAB4F02CEC,3/17/19 0:00,6C19383E-5056-A20B-FA98958621A41BBB,GRAN PALACIO EVENT CENTER,9906 GULF FWY,77075,Restaurant - Full Service,MEXICAN / HISPANIC,0,LOW
5755757,51040D23-3048-98E5-1A49263021A14E3A,3/18/19 0:00,98D56FCB-5056-A20B-FA9862C33BD4C870,CHILOS SEAFOOD RESTAURANT #2,1150 EDGEBROOK DR,77034,Restaurant - Full Service,SEAFOOD,8,HIGH
5755761,4603,3/18/19 0:00,99B9280D-5056-A20B-FAFB673794A0F2EE,RIVA'S,1117 MISSOURI,77006,Restaurant - Full Service,,0,HIGH
5755802,1908,3/18/19 0:00,9CA639BB-5056-A20B-FAE02E3130DDA4EF,NAUMI SHELL,7025 SOUTH LOOP EAST,77087,Restaurant - Single Service,"BEVERAGES, ETC.",3,MEDIUM
5755809,01E8B531-CF68-2618-BC6BA1740C886521,3/18/19 0:00,9D303898-5056-A20B-FACB3887EEEC09BF,OSTIONERIA MICHOACAN #3,1006 FEDERAL RD STE A,77015,Restaurant - Full Service,SEAFOOD,7,HIGH
5755846,2035,3/18/19 0:00,A07D9DE9-5056-A20B-FAB5D75B9B0EB079,HOUSTON PLAZA HILTON,6633 TRAVIS,77030,Restaurant - Full Service,LOCAL / CONTINENTAL,9,HIGH
5755866,2BC80CF9-FF3F-4C62-54DEC5097BA6DF51,3/18/19 0:00,A221BC47-5056-A20B-FA6A3F6360F18143,LA FISHERMAN,8300 W SAM HOUSTON  PKWY S STE 268,77072,Restaurant - Full Service,CAJUN,6,HIGH
5755880,44913,3/18/19 0:00,A4F3D365-5056-A20B-FAE9C065E3408259,IBIZA FOOD & WINE BAR,2450 LOUISIANA,77006,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5701826,2285,1/15/19 0:00,55D03092-5056-A20B-FA294EF1E3983D45,TAQUERIA ARANDAS,1840 WIRT,77055,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5701838,5102AA1E-CFF5-6BCF-A58532162EF30F66,1/16/19 0:00,566F5AA1-5056-A20B-FA144D5F764B774A,JACK IN THE BOX #3616,2420 BAY AREA BLVD,77058-1520,Restaurant - Single Service,,6,MEDIUM
5702237,34F5ED09-C5EF-C13B-AE67C86C529F6A5A,1/21/19 0:00,57FA577A-5056-A20B-FA4AF175BB59A955,HUGO  CALIENTE,790 W SAM HOUSTON PKWY N STE 112,77024,Restaurant - Single Service,,6,HIGH
5702321,1805,1/21/19 0:00,5E55C61A-5056-A20B-FAD627736454D60A,GRISBY'S,1303 SAN JACINTO,77002,Restaurant - Single Service,,5,MEDIUM
5702400,2079,1/22/19 0:00,87CCE791-5056-A20B-FA5340DF59923681,BUBBA'S SPORTS BAR & GRILL,6225 WASHINGTON AVE,77007,Restaurant - Single Service,LOCAL / CONTINENTAL,7,HIGH
5750047,1827,2/17/19 0:00,CC452A45-5056-A20B-FA5A1CD581BCA74D,FRENCHY'S CHICKEN,3919 SCOTT,77004,Restaurant - Single Service,CHICKEN,8,HIGH
5750119,24C3D599-D45D-3EAD-A3FDFB6456DD9DBF,2/18/19 0:00,F27F7330-5056-A20B-FABA4342A42B9513,HAPPY ENDINGS - Diana's,1311 LEELAND,77002,"Mobile - Conventional, Unrestricted, Motorized",,6,HIGH
5750856,3308830A-A860-D8AB-2D2568BB5E3ACADE,2/23/19 0:00,F7BF7209-5056-A20B-FA4A886B9E85BC5B,NEW BORDER,10425 S POST OAK,77035,Restaurant - Full Service,CHINESE,8,HIGH
5756063,51140,3/19/19 0:00,D31F238B-5056-A20B-FAC49F39F1AD3EA5,MCDONALD'S #27326,2727 DUNVALE,77063,Restaurant - Single Service,"BURGERS, ETC.",7,MEDIUM
5756253,086A82FA-FD1D-6663-B26E935345E52A82,3/20/19 0:00,02A0D0DA-5056-A20B-FA5B06F13B61BF7C,L'OLIVIER,240 WESTHEIMER RD,77006,Restaurant - Full Service,EUROPEAN,0,HIGH
5756312,41550,3/20/19 0:00,070E3C09-5056-A20B-FA08885494157D33,HOKKAIDO JAPANESE KITCHEN,9108 BELLAIRE  BLVD STE B,77036,Restaurant - Full Service,JAPANESE,7,HIGH
5756630,503D1E99-FCA0-2A55-30E3AAD7B98D27C1,3/22/19 0:00,6E540057-5056-A20B-FA6D3FE91C29F177,EL CATRIN,7403 IRVINGTON,77022,Restaurant - Full Service,MEXICAN / HISPANIC,8,HIGH
5756634,53928C17-B5F3-0C2B-5400952E469CD167,3/22/19 0:00,6F654A09-5056-A20B-FAEBE6EF3843E4B4,LOUISIANA FISH HOUSE,60 E CROSSTIMBERS,77022,Restaurant - Single Service,SEAFOOD,6,HIGH
5756857,12929,3/24/19 0:00,DA09DBAB-5056-A20B-FA02A9825DE86504,SHIPLEY DONUTS,6115 TELEPHONE,77087,Restaurant - Single Service,BREAKFAST,6,MEDIUM
5700052,0BDEEA68-D271-88AB-DAB3953C05B9F979,1/6/19 0:00,5657D87B-5056-A20B-FAA22A8670FE0CBA,PHO GA SO I,6796 SYNOTT,77083,Restaurant - Full Service,VIETNAMESE,6,HIGH
5700131,563891F6-AE75-345E-BC73EC79E58300EF,1/7/19 0:00,7D57E668-5056-A20B-FA68592CFA79A54D,SONIC DRIVE-IN #5,1201 W SAM HOUSTON NORTH PKWY STE A,77043,Restaurant - Single Service,"BURGERS, ETC.",4,MEDIUM
5700625,51123,1/8/19 0:00,BEE6C3FF-5056-A20B-FA2712280F1623DC,HARDY  SHELL  & CHURCH'S(Shell gasoline),743 N SAM HOUSTON PKWY E,77060,Restaurant - Single Service,OTHER,3,MEDIUM
5700660,2051,1/8/19 0:00,C1CCF89B-5056-A20B-FA6CC11FD0DAF9B3,CARRABBA'S ON WOODWAY,1399 S VOSS,77057,Restaurant - Full Service,ITALIAN,9,HIGH
5701012,12836,1/9/19 0:00,1982A6B6-5056-A20B-FA1A582F40E3B442,TACO CABANA #402,8101 MAIN,77025,Restaurant - Single Service,MEXICAN / HISPANIC,7,HIGH
5701075,06E6648F-B72F-BC85-E43EEC5521B8FD97,1/10/19 0:00,226ABD36-5056-A20B-FA1C7C5575AB52F1,PIZZA LOVE,10011 LONG POINT,77055,Restaurant - Single Service,,0,HIGH
5701165,571,1/11/19 0:00,5BA533CE-5056-A20B-FAA7ACAEDB4CFBBF,BRADY'S LANDING,8505 CYPRESS,77012,Restaurant - Full Service,LOCAL / CONTINENTAL,9,HIGH
5701210,0710D476-E1E0-ED8F-AB8A937413CCB61E,1/13/19 0:00,B2351D9C-5056-A20B-FAE950007E76C071,CRACKER BARREL # 679,24400 EASTEX FWY,77339,Restaurant - Full Service,LOCAL / CONTINENTAL,6,HIGH
5701243,41537,1/13/19 0:00,B7E9F8FB-5056-A20B-FA2CFC95728796C6,THE SPAGHETTI WESTERN,1608 SHEPHERD,77007,Restaurant - Full Service,ITALIAN,7,HIGH
5701308,12803,1/13/19 0:00,BE5E2C62-5056-A20B-FA0DF555A2E1BD29,PAPPAS SEAFOOD HOUSE,6945 GULF  FWY,77087,Restaurant - Full Service,SEAFOOD,8,HIGH
5701346,3827,1/13/19 0:00,C075A40F-5056-A20B-FA6B3650E1298A17,BECK'S PRIME,1202 DAIRY ASHFORD,77079,Restaurant - Single Service,"BURGERS, ETC.",6,HIGH
5701414,414176E3-EFEB-FA70-97F8F89F87B1C929,1/14/19 0:00,E5248070-5056-A20B-FAEF88F38961292E,CAFE CAELI,1155 S DAIRY ASHFORD STE 110,77079,Restaurant - Single Service,,0,MEDIUM
5701549,40989153-3048-94EE-989F667F5665245C,1/14/19 0:00,F51AC912-5056-A20B-FA8CF930FBE026F4,TRISH BIDA,11130 BEECHNUT STE A,77072,Restaurant - Full Service,VIETNAMESE,7,MEDIUM
5757079,22435E5F-D414-D4A2-A0FFF16C0874B288,3/25/19 0:00,08BDF9C8-5056-A20B-FADA1F485D04A8F0,DOMINO'S PIZZA 6734,3507 ELGIN,77004,Restaurant - Single Service,PIZZA,5,MEDIUM
5757162,3767E5B6-CFC9-A2CA-1BC62CDD142E2F0E,3/26/19 0:00,2E2474AA-5056-A20B-FACEA2631E68428F,TAQUERIA EL NOVILLO,609 HOGAN  ST,77009-8336,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5757302,48071,3/26/19 0:00,39723F3D-5056-A20B-FA834AE320AA3CBD,COMFORT SUITES,11440 CLAY  RD,77041,Restaurant - Single Service,LOCAL / CONTINENTAL,6,HIGH
5757411,40F0EE03-C65D-FC4B-0A5B49F237C28A8A,3/26/19 0:00,5C22F932-5056-A20B-FA365B0D5718CB6C,WING MASTERS WIT MORE,647 GREENS RD STE B,77060,Restaurant - Single Service,CHICKEN,5,HIGH
5757577,45899,3/27/19 0:00,6D75F7D1-5056-A20B-FA049A581D5C45A9,TAQUERIA TUZANTLA,9612 BEECHNUT,77036,Restaurant - Full Service,,7,HIGH
5751837,13150,2/28/19 0:00,FD1A495A-5056-A20B-FA9C040E8431BC28,WHATABURGER #263,2820 CHIMNEY ROCK,77056,Restaurant - Single Service,"BURGERS, ETC.",7,MEDIUM
5752205,1CCC7B2E-D0B8-31D8-ABDA4B12D810DEEC,3/4/19 0:00,C7E56B59-5056-A20B-FAF595BFB419929F,"PUCS-POP UP COFFEE STOP,LLC-DIANA'S",609 WESTBURY SQUARE,77035,"Mobile - Conventional, Unrestricted, Motorized",,0,LOW
5702586,180DFD86-0E35-8596-533ECCD9AF125102,1/22/19 0:00,B1EF3483-5056-A20B-FAEA5902501FA068,AKA SUSHI HOUSE,2390 W ALABAMA,77098,Restaurant - Full Service,JAPANESE,6,HIGH
5702629,3825,1/23/19 0:00,B843E88A-5056-A20B-FAA21B5D763C0FE9,MCDONALD'S #13777,7606 WESTHEIMER,77063,Restaurant - Single Service,"BURGERS, ETC.",8,HIGH
5703032,51180,1/27/19 0:00,910FBEC1-5056-A20B-FAEDF9A5D8440F71,SUBWAY #13634,9421 MESA  RD STE H,77078,Restaurant - Single Service,SANDWICHES,6,MEDIUM
5703092,53937,1/28/19 0:00,B3DA7EF3-5056-A20B-FA463161FCB86440,FOODWAY,10949 S SAM HOUSTON PKWY W,77031,Restaurant - Single Service,"BEVERAGES, ETC.",6,MEDIUM
5701593,47928,1/15/19 0:00,17B2E9EB-5056-A20B-FA2C5077446D0327,CULLEN SHELL,7401 CULLEN,77051,Restaurant - Single Service,CHICKEN,6,MEDIUM
5701728,064444AD-AC82-A7DE-9BABEBADEE771F03,1/15/19 0:00,2EF96E0B-5056-A20B-FAD57DF98E603465,BATANGA RESTAURANT,908 CONGRESS AVE,77002,Restaurant - Full Service,OTHER,7,HIGH
5701754,45953,1/15/19 0:00,4BFF15E0-5056-A20B-FA1CD68623E376FA,TACO BELL # 9535,4904 W BELLFORT,77035,Restaurant - Single Service,MEXICAN / HISPANIC,3,MEDIUM
5702068,4C8AE7F0-5056-A22C-E60A5E106F9AC23B,1/17/19 0:00,8E4596B4-5056-A20B-FA30A8A4E1141396,CARRITO CUBANO  - SOUTHWEST,6200 BELLAIRE,77081,"Mobile - Conventional, Unrestricted, Motorized",,5,HIGH
5702185,354A7999-AD28-25AB-168B0603C6128D63,1/21/19 0:00,51F6F389-5056-A20B-FA48A5599D6448D3,SONIC DRIVE IN # 1109,15917 S POST OAK STE C,77053,Restaurant - Single Service,"BURGERS, ETC.",6,MEDIUM
5703118,353,1/28/19 0:00,B862E7FA-5056-A20B-FAEF0A0ECF1EE429,EL PUPUSODROMO # 2,6817 BISSONNET,77074,Restaurant - Full Service,,7,HIGH
5703277,1501,1/28/19 0:00,C9AF4B2F-5056-A20B-FABACA02E4247FB2,LAST CONCERT CAFE,1403 NANCE,77002,Restaurant - Full Service,MEXICAN / HISPANIC,6,HIGH
5703462,13347,1/29/19 0:00,F8658D03-5056-A20B-FACDBD7F34AB5F5B,K.H.S. BAND BOOSTERS CONCESSION STAND,2701 KINGWOOD DR,77338,Restaurant - Single Service,,0,MEDIUM
5703532,1298,1/29/19 0:00,FC685D1F-5056-A20B-FA8E94B31C4437C1,HYATT REGENCY,1200 LOUISIANA,77002,Restaurant - Full Service,LOCAL / CONTINENTAL,0,HIGH
5721600,270A20AB-D2D6-4AAB-C1B7E55F632F25FA,1/30/19 0:00,21B0DA9A-5056-A20B-FAD31D2F96D6FDB1,PIATTO RISTORANTE,1111 STUDEWOOD ST STE B,77008,Restaurant - Full Service,LOCAL / CONTINENTAL,0,HIGH
5721739,4766,1/29/19 0:00,2CA7DF43-5056-A20B-FA437577D31FE219,K & S SUPER MART,6902 N WAYSIDE,77028,Restaurant - Single Service,,2,MEDIUM
5721781,07FC4B2F-F9E9-05CE-2ECBB8695FD15EDC,1/30/19 0:00,2EF6864E-5056-A20B-FA94EA4634134F9C,BB'S CAFE,6154 WESTHEIMER RD,77057,Restaurant - Full Service,CAJUN,4,MEDIUM
5722253,2563,2/4/19 0:00,2A7388BA-5056-A20B-FA08A2902ED7E045,SUNNY'S,2939 FONDREN,77063,Restaurant - Single Service,"BEVERAGES, ETC.",2,MEDIUM
5722263,40D2028B-E24E-2B53-2FCBE6846FA0E1CB,2/4/19 0:00,2AE91121-5056-A20B-FAC308C843196255,TED'Z SEAFOOD & WINGS,3706 S GESSNER,77063,Restaurant - Single Service,,0,MEDIUM
5722421,3863,2/5/19 0:00,5BDB593B-5056-A20B-FA6BE92143510545,BASKIN ROBBINS,1634 GESSNER,77080,Restaurant - Single Service,,0,LOW
5728754,201C2DFC-F293-7288-3C7EFFD4F76DDD43,2/6/19 0:00,95639FA8-5056-A20B-FA3D25FEC523A1FF,HYATT PLACE,300 RONAN PARKPLACE,77060,Restaurant - Single Service,LOCAL / CONTINENTAL,2,MEDIUM
5702438,07CF2F5F-903A-1FF1-DA97470517A7003D,1/22/19 0:00,8C1A1005-5056-A20B-FA82D013F4E7CEBE,SAL Y PIMIENTA,818 TOWN AND COUNTRY BLVD STE 105,77024,Restaurant - Full Service,MEXICAN / HISPANIC,6,HIGH
5702465,54970,1/22/19 0:00,8DA9450E-5056-A20B-FAD6A0E946ABB385,NRG STADIUM,2 RELIANT PKWY,77054,Restaurant - Single Service,LOCAL / CONTINENTAL,6,HIGH
5702516,17DBF092-BA3A-937D-92F7FBC690BA12DA,1/22/19 0:00,90C4020B-5056-A20B-FA162BF8864BAEE4,SAINT JAMES PLACE BISTRO BY LUBY'S,2000 SAINT JAMES PLACE STE 1ST FLR,77056,Restaurant - Full Service,,0,HIGH
5702608,41819,1/22/19 0:00,B648C7E3-5056-A20B-FAABF21C5A713436,CAFE KO,12740 EAST  FWY,77015,Restaurant - Full Service,CHINESE,8,HIGH
5702804,2559517D-D65E-8ACB-2C55FCBE3AA27592,1/24/19 0:00,ED3E2141-5056-A20B-FA00A6BC14FD3938,TAQUERIA EL COMPADRE - 3 BROTHERS,7036 HARRISBURG BLVD,77011,"Mobile - Conventional, Unrestricted , Non-motorized",,4,MEDIUM
5702892,2F5912EC-C966-F199-9C32E4D3BF96B289,1/24/19 0:00,F942629E-5056-A20B-FACDE03792C8384B,ADDIC TEA CAFE,8586 WESTHEIMER RD,77063,Restaurant - Single Service,CHINESE,5,HIGH
5702986,34FBD06C-E69C-D437-AC52051BF3BD5FE4,1/27/19 0:00,8B70D7F9-5056-A20B-FAB0299FA635E2D0,PAPPASITO'S,1600 LAMAR ST STE D,77010,Restaurant - Full Service,SEAFOOD,7,HIGH
5728932,223AC2E5-EAFF-3887-D57EF4247002DE4D,2/7/19 0:00,C89467EC-5056-A20B-FA07F923F7B8B0EB,EL TIEMPO 1308 CANTINA,1308 MONTROSE BLVD STE A,77019,Restaurant - Full Service,MEXICAN / HISPANIC,6,HIGH
5729087,019D8253-F8BB-B006-D47EF41CAF33BC8B,2/10/19 0:00,61AA6D9A-5056-A20B-FA1C79A1B0013902,CAFE CHINA,1304 BLALOCK RD STE M,77055-6475,Restaurant - Full Service,CHINESE,7,HIGH
5729154,309ABDA6-CFA9-F4C0-BF70282E6A3B5404,2/10/19 0:00,67A18858-5056-A20B-FA043EB95035F59B,MC DONALD'S,9805 S MAIN,77025,Restaurant - Single Service,"BURGERS, ETC.",5,MEDIUM
5729415,1756,2/12/19 0:00,BFADCC94-5056-A20B-FAC2148FAD1667A5,PAPPASITOS CANTINA #1,6445 RICHMOND,77057,Restaurant - Full Service,MEXICAN / HISPANIC,8,HIGH
5739577,53321,2/7/19 0:00,C55A7909-F4FD-4E7C-AB67E689E610F2B3,CHIPOTLE MEXICAN GRILL # 271,11805 WESTHEIMER RD STE 330,77077,Restaurant - Single Service,MEXICAN / HISPANIC,5,MEDIUM
5739623,44F2B47C-C724-CC86-F5D54458C71BF8BD,2/26/19 0:00,E462DFB4-E556-4D9A-9447D7F7B58BFA75,ACHILLES ITALIAN CAFE,1127 ELDRIDGE PKWY STE 1030,77077,Restaurant - Full Service,,0,HIGH
5750914,3011,2/24/19 0:00,2BC9FC34-5056-A20B-FA0B0D232EECB72D,MASSA'S RESTAURANT,1160 SMITH,77002,Restaurant - Full Service,SEAFOOD,7,HIGH
5751216,2F49272A-B151-0D62-E389251E3A8F05FC,2/25/19 0:00,653497F0-5056-A20B-FA4E352C3AC0A465,HOLLEY'S SEAFOOD RESTAURANT,3201 LOUISIANA STE 101,77002,Restaurant - Full Service,SEAFOOD,7,HIGH
5751410,48757,2/26/19 0:00,95BBEFF9-5056-A20B-FA5B28CBB2570FB0,STARBUCKS COFFEE #6426,515 BAY AREA  BLVD STE 100,77058,Restaurant - Single Service,"BEVERAGES, ETC.",0,MEDIUM
5751527,0B883B11-CAA6-D8B8-087B67E9F17BB7E1,2/26/19 0:00,9DFBF96F-5056-A20B-FA54AA2D9184AEC2,EL JALAPENO LOCO,9322 FULTON,77022,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5751553,41479,2/26/19 0:00,BE11E2E8-5056-A20B-FA44B549B96FCBA7,OSTIONERIA LAS ROCAS,7220 AIRLINE STE A3,77076,Restaurant - Full Service,SEAFOOD,8,HIGH
5752065,33AB2700-0C84-480B-5A2C5F7F8377A2E7,3/3/19 0:00,9B349886-5056-A20B-FA9E34DBD591815E,GIGI'S CUPCAKES,1609 S POST OAK LN,77056,Restaurant - Single Service,DESSERTS,3,MEDIUM
5753296,3FE9BE24-FBAC-A34C-868FAC1638F77135,3/10/19 0:00,FECEB5E4-5056-A20B-FA38AFDFDE5F3EFC,MARIA'S TACOS N MORE,5127 ELLA,77018,Restaurant - Full Service,MEXICAN / HISPANIC,6,HIGH
5753321,38FC165F-BF75-9444-7BF50AEDA3FC0F90,3/10/19 0:00,00548DF7-5056-A20B-FA907E88B932E613,TAQUERIA & RESTAURANT EL SOL DE MEXICO,12625 MARKET  ST,77015,Restaurant - Full Service,MEXICAN / HISPANIC,0,HIGH
5753478,391F15FC-3048-94EE-984492792B695F53,3/11/19 0:00,2A0C7017-5056-A20B-FA45E6F55DB2515A,JACK IN THE BOX # 3625,2801 HILLCROFT,77057,Restaurant - Single Service,"BURGERS, ETC.",5,HIGH
5753483,2155,3/10/19 0:00,2A525B3E-5056-A20B-FAA8B809AA5047D3,CHILI'S GRILL AND BAR #89,5015 WESTHEIMER,77056,Restaurant - Full Service,BAR & GRILL,9,HIGH
5753799,1488,3/12/19 0:00,6848E7B2-5056-A20B-FA27BA2D97EDE00F,PAX AMERICANA HTX,4319 MONTROSE BLVD,77006,Restaurant - Full Service,THAI,7,HIGH
5703012,48217,1/27/19 0:00,8EBA6E9F-5056-A20B-FAF1AD67185563C9,THE SEAFOOD CENTER,8112 HOMESTEAD,77028,Restaurant - Single Service,,5,MEDIUM
5703017,50521,1/27/19 0:00,8F496E90-5056-A20B-FAD31A438AB414EC,BOMBAY SWEETS / VEGETARIAN RESTAURANT,5827 HILLCROFT,77036,Restaurant - Full Service,INDIAN / PAKISTANI,8,HIGH
5703191,1569,1/22/19 0:00,C3496971-5056-A20B-FA87632E5A227537,LUBY'S #5 - 0084,11250 NORTHWEST  FWY,77092,Restaurant - Full Service,CAFETERIA,9,HIGH
5703257,48715,1/28/19 0:00,C806D20A-5056-A20B-FA49C97746D3A8FB,PAPPAS BURGER,5815 WESTHEIMER,77057,Restaurant - Full Service,"BURGERS, ETC.",9,HIGH
5703321,5B5CEB8A-08D5-D62C-74203F7FF9DD421F,1/29/19 0:00,ECA2DAC7-5056-A20B-FA1BFBC82A2E576F,LYDIA'S CATERING,6701 ROXBURY,7787,"Mobile - Conventional, Unrestricted, Motorized",,5,HIGH
5703444,1111,1/29/19 0:00,F784CC7F-5056-A20B-FAEC8D987DF61708,MAMA SEAFOOD,10196 JENSEN,77093,Restaurant - Single Service,SEAFOOD,0,MEDIUM
5721578,53410FB2-E191-8F46-4B2955031864020B,1/30/19 0:00,1F4BFA60-5056-A20B-FA39AD57CB9CCE4D,LUIGI'S GRILLE & MORE - Southwest,4803 MAIN,77004,"Mobile - Conventional, Unrestricted, Motorized",,6,HIGH
5721594,12848,1/30/19 0:00,20B2257B-5056-A20B-FA702445C482AF77,TACO CABANA #236,13480 NORTHWEST  FWY,77040,Restaurant - Full Service,MEXICAN / HISPANIC,6,HIGH
5721616,2295B040-3048-9933-80899E795B8D9C76,1/30/19 0:00,22AE29F4-5056-A20B-FA9A34EEC3101A60,SYLVIA'S ENCHILADA KITCHEN,6401 WOODWAY STE 105,77057,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5739783,53872,3/25/19 0:00,58ED14CA-2826-498F-9862E5577C73B39F,STARBUCKS #6484,11805 WESTHEIMER  STE 326,77077,Restaurant - Single Service,"BEVERAGES, ETC.",4,MEDIUM
5749873,24DDE252-BD22-0C1E-EB3F3CB4BB70C630,2/14/19 0:00,30951207-5056-A20B-FAF9EB4C2418BF24,CILANTRO'S MEXICAN KITCHEN,5 GREENWAY PLAZA STE C-650,77046,Restaurant - Full Service,MEXICAN / HISPANIC,7,MEDIUM
5749977,12830,2/17/19 0:00,C40D1D0F-5056-A20B-FA5579AD9A72A82B,TACO CABANA #144,7501 BELLAIRE BLVD,77036,Restaurant - Single Service,MEXICAN / HISPANIC,7,HIGH
5749987,3029,2/17/19 0:00,C5377402-5056-A20B-FAA5606B420B1B1A,TARGET STORES T858,13250 NORTHWEST  FWY,77040,Restaurant - Single Service,,5,HIGH
5750117,56319,2/18/19 0:00,F24140F5-5056-A20B-FA36C3D9D86CF656,JIMMY WOK,2268 W HOLCOMBE,77030,Restaurant - Full Service,CHINESE,7,HIGH
5721758,3080,1/30/19 0:00,2D4B38B4-5056-A20B-FA11E3C70056235F,SU KO'S BURGER HOUSE,93 S LOCKWOOD,77011,Restaurant - Single Service,,0,MEDIUM
5722014,4D4FC68D-F055-94E5-D63281F41BA8CB94,2/3/19 0:00,F7A776CF-5056-A20B-FAE134E9C0F964C5,TAQUERIA Y PUPUSERIA DON LUIS - South West,7997 W AIRPORT BLVD,77071,"Mobile - Conventional, Unrestricted, Motorized",,6,HIGH
5722082,52188,2/3/19 0:00,FD10881E-5056-A20B-FAF49F6BFFB772C3,RAGIN CAJUN DOWNTOWN,930 MAIN STE T230,77002,Restaurant - Full Service,SEAFOOD,7,HIGH
5722141,25442A8E-C8BA-88B0-5BD339E0EAE8903B,2/4/19 0:00,1E406567-5056-A20B-FAB7FB206CB24C12,MCDONALDS#32590,10750 WESTVIEW STE A,77043,Restaurant - Single Service,"BURGERS, ETC.",4,MEDIUM
5722182,1738,2/4/19 0:00,21CA5FE4-5056-A20B-FA6B4BC88A0F51C6,NIELSEN'S DELICATESSEN,4500 RICHMOND,77027,Restaurant - Single Service,LOCAL / CONTINENTAL,7,MEDIUM
5722292,4466,2/4/19 0:00,2C72F9C7-5056-A20B-FA4330F7B0EB0B71,TEL-WINK GRILL,4318 TELEPHONE,77087,Restaurant - Full Service,LOCAL / CONTINENTAL,7,HIGH
5750423,12994,2/19/19 0:00,2EA5E4B7-5056-A20B-FA22F97D97DD2B93,MACHADO CORN ROAST-FIESTA #8,2323 WIRT  RD,77055,"Mobile - Fixed Location, Unrestricted",,0,LOW
5750511,2221EAF3-0803-4051-07AB863296A03AF4,2/19/19 0:00,38323233-5056-A20B-FA1E9BD946E9D07D,CAFE EXPRESS,650 MAIN ST,77002,Restaurant - Full Service,LOCAL / CONTINENTAL,9,HIGH
5750515,3035,2/19/19 0:00,398778E6-5056-A20B-FA1D622B6FF3F7D1,SUPREME SANDWICHES,804 MILAM,77002,Restaurant - Single Service,,0,MEDIUM
5750594,12799,2/20/19 0:00,5F660E93-5056-A20B-FA38E7F65A19208E,KENTUCKY FRIED CHICKEN,12499 WESTHEIMER,77077,Restaurant - Single Service,CHICKEN,7,MEDIUM
5750782,2D8C3E16-A8DC-CDD2-2641C71A1DAFE796,2/21/19 0:00,908E8CDF-5056-A20B-FAF1AEC1EB1C4969,PHO GA DA KAO,11778 BELLAIRE BLVD,77072,Restaurant - Full Service,VIETNAMESE,7,HIGH
5750802,1734380E-0D45-0E6B-49E066E30D2337AE,2/21/19 0:00,96026FE4-5056-A20B-FADE569105041208,MARIA'S CATERING - Mobile Caterers of TX,3515  EASTEX FWY,77026,"Mobile - Conventional, Unrestricted, Motorized",,5,HIGH
5752488,1D3ED4C2-04BB-612C-342BD73446D7439F,3/4/19 0:00,FFCE043C-5056-A20B-FA45A974028967CF,MO MO'S CHICKEN & WAFFLE,3419 LIBERTY RD,77026,Restaurant - Full Service,BREAKFAST,8,HIGH
5753408,456464BE-CDAA-701F-2A3D284864608318,3/10/19 0:00,07510E80-5056-A20B-FA9D05B3B61208F7,FIREHOUSE SUBS,170 MEYERLAND PLAZA,77096,Restaurant - Single Service,SANDWICHES,6,MEDIUM
5753497,184A2577-3048-983B-2674BEE50C928F59,3/11/19 0:00,2C95D8B3-5056-A20B-FAA5A4EE7AA951BD,CHACHO'S #6,2700 SOUTH LOOP WEST,77054,Restaurant - Full Service,MEXICAN / HISPANIC,6,HIGH
5722459,54B3C39A-5056-A20B-FA035ABC3B309D54,2/5/19 0:00,60530920-5056-A20B-FAB468F1D336146B,GULSHAN MITHAI,6121 HILLCROFT STE T1,77081,Restaurant - Full Service,,0,HIGH
